brand,model_number,model_name,year,randomdata,model_search
Doosan,9501450,Hydraulic Excavator,2013,1450,9501450
New Holland,HD405-7,Asphalt Paver,2000,1784,HD405-7
Fendt,EX 1200-6,Skid Steer Loader,2018,1629,EX1200-6
Hitachi,ZL50D-II,Crawler Tractor,2009,1139,ZL50D-II
Vogele,475C1388,Mobile Excavator,2001,1388,475C1388
Kubota,L4240GST,Motor Grader,2014,1157,L4240GST
Hesston,972H1374,MFWD Tractor,2011,1374,972H1374
Massey Ferguson,IT38G Series II,Mini Excavator,2000,1314,IT38GSeriesII
Claas,AXIAL-FLOW 7240,4WD Tractor,2018,1384,AXIAL-FLOW7240
Burch,WD 1903,Integrated Tool Carrier,2011,1645,WD1903
Liebherr,SV1001530,Cultivator,2010,1530,SV1001530
Komatsu,L150G1273,Wheel Loader,2019,1273,L150G1273
Dressta,TL1401900,Skid Steer Loader,2019,1900,TL1401900
Bomag,T40401896,Mini Excavator,2002,1896,T40401896
Brandt,23451160,Hydraulic Excavator,2015,1160,23451160
Caterpillar,2101878,Loader Backhoe,2001,1878,2101878
Case IH,TB120 Low Profile,Crawler Tractor,2011,1765,TB120LowProfile
Ingersoll Rand,412B1831,Disc,2002,1831,412B1831
Great Plains,CP68B1711,Log Loader,2004,1711,CP68B1711
Case,2706E1240,Hydraulic Excavator,2018,1240,2706E1240
Kubota,T4.80V,Skid Steer Loader,2016,1696,T4.80V
John Deere,DX63-3,Cold Planer,2004,1952,DX63-3
Burch,345B1204,Multi Terrain Loader,2018,1204,345B1204
Massey Ferguson,TD95D1045,4WD Tractor,2004,1045,TD95D1045
Case IH,R94001141,Hydraulic Excavator,2010,1141,R94001141
John Deere,"NUTRI-PLACER 5300, 22.5 FT",Wheel Loader,2004,1319,"NUTRI-PLACER5300,22.5FT"
Terex,335C1583,Vibratory Compactor,2000,1583,335C1583
Bobcat,440 Plus,Crawler Tractor,2002,1822,440Plus
Massey Ferguson,DD9H1261,MFWD Tractor,2001,1261,DD9H1261
New Holland,8130 180 PTO hp,Hydraulic Excavator,2018,1664,8130180PTOhp
Gehl,TWL3036,Hydraulic Excavator,2016,1325,TWL3036
Massey Ferguson,906M1007,Mobile Excavator,2015,1007,906M1007
John Deere,HD PLUS 70i VO,4WD Tractor,2006,1496,HDPLUS70iVO
Hitachi,S10701081,Hydraulic Excavator,2005,1081,S10701081
Top Air,990 H1361,Loader Backhoe,2013,1361,990H1361
Tong Yang Moolsan,DH2572,Harrow,2008,1488,DH2572
Bomag,TD14M LT,4WD Tractor,2001,1944,TD14MLT
Caterpillar,EC220DL,Hydraulic Excavator,2006,1703,EC220DL
International,MF 3435,Vibratory Smooth Drum Roller,2003,1201,MF3435
Spra-Coupe,5054-47,4WD Tractor,2019,1848,5054-47
Caterpillar,EX200LC-3,Hydraulic Excavator,2007,1672,EX200LC-3
John Deere,SH130-5,Vibratory Compactor,2010,1798,SH130-5
Caterpillar,4351876,Crawler Tractor,2004,1876,4351876
Bomag,85501923,Vibratory Smooth Drum Roller,2001,1923,85501923
JCB,CA150P,Articulated Dump Truck,2014,1022,CA150P
Bomag,VARIANT 480 RC,4WD Tractor,2009,1016,VARIANT480RC
Caterpillar,HSL1200T,Cultivator,2018,1013,HSL1200T
Case IH,535D1580,Static Smooth Drum Roller,2002,1580,535D1580
Komatsu,6115 Profi,Midi Excavator,2000,1526,6115Profi
LiuGong,60ZV-2,Multi Terrain Loader,2013,1264,60ZV-2
Kubota,7300-27N,Wheel Loader,2006,1668,7300-27N
New Holland,Farmall 85C,4WD Tractor,2016,1256,Farmall85C
Caterpillar,WA70-6,MFWD Tractor,2011,1654,WA70-6
Komatsu,2651483,2WD Tractor,2004,1483,2651483
Fendt,245B LC Series II,Multi Terrain Loader,2001,1778,245BLCSeriesII
Steyr,115ZIII,Wheel Loader,2000,1731,115ZIII
John Deere,1170E1860,Cold Planer,2018,1860,1170E1860
Dressta,SH200HD-3,Baler,2001,1743,SH200HD-3
Terex,EC700CL,Forwarder,2003,1107,EC700CL
Yanmar,20A Open Station,Rock Truck,2004,1414,20AOpenStation
Krause,DD34HF,Hydraulic Excavator,2015,1688,DD34HF
John Deere,B555D1725,4WD Tractor,2002,1725,B555D1725
Caterpillar,DD118HFA,Disc,2009,1895,DD118HFA
Caterpillar,535D1525,Motor Grader,2014,1525,535D1525
Kubota,9161708,Hydraulic Excavator,2003,1708,9161708
Massey Ferguson,H18i1719,Sprayer,2006,1719,H18i1719
New Holland,R450LC-7,Hydraulic Excavator,2010,1049,R450LC-7
Burch,T6030 Elite,Hydraulic Excavator,2018,1256,T6030Elite
John Deere,ZL3021498,Hydraulic Excavator,2014,1498,ZL3021498
Doosan,L3130DT,4WD Tractor,2009,1143,L3130DT
Massey Ferguson,RT1001325,Skid Steer Loader,2009,1325,RT1001325
Mecalac,544K Powerllel w/Q Coupler,Baler,2015,1789,544KPowerllelwQCoupler
John Deere,FLEX HOE 400,Multi Terrain Loader,2019,1869,FLEXHOE400
Caterpillar,N111e Power Hi-Tech,Hydraulic Excavator,2017,1829,N111ePowerHi-Tech
Caterpillar,CP56B1863,Hydraulic Excavator,2017,1863,CP56B1863
Challenger,320D L,Mini Excavator,2000,1695,320DL
New Holland,720A1914,Vibratory Smooth Drum Roller,2014,1914,720A1914
John Deere,VM1500,Vibratory Smooth Drum Roller,2009,1120,VM1500
Komatsu,CR362S,MFWD Tractor,2011,1266,CR362S
Hitachi,SK350LC-10,Wheel Loader,2001,1932,SK350LC-10
New Holland,L4701-HST,Wheel Loader,2016,1988,L4701-HST
Hitachi,R501079,4WD Tractor,2017,1079,R501079
Kubota,Maxter 60 SN,Mini Excavator,2013,1806,Maxter60SN
Burch,DK35SE HST,Cultivator,2013,1894,DK35SEHST
JCB,R290LC-7 High Chassis,Crawler Tractor,2011,1010,R290LC-7HighChassis
John Deere,JX801382,Crawler Tractor,2013,1382,JX801382
AGCO,SK210HLC-10 HYBRID,Wheel Loader,2008,1392,SK210HLC-10HYBRID
Caterpillar,624EH1977,4WD Tractor,2018,1977,624EH1977
Kubota,L2501-HST,Hydraulic Excavator,2000,1384,L2501-HST
Caterpillar,DL200TC-5,4WD Tractor,2008,1856,DL200TC-5
YTO,TB175W,2WD Tractor,2019,1416,TB175W
Hitachi,2154G1376,2WD Tractor,2014,1376,2154G1376
Hamm,CX750D,Skid Steer Loader,2010,1398,CX750D
Caterpillar,BR7070 Rotor,Hydraulic Excavator,2012,1932,BR7070Rotor
John Deere,CS573C,4WD Tractor,2006,1824,CS573C
Terex,Tiger-mate II 18ft,2WD Tractor,2013,1087,Tiger-mateII18ft
New Holland,9412-15,Utility Tractor,2003,1978,9412-15
JCB,SV08-1,Crawler Tractor,2007,1130,SV08-1
Great Plains,L3240F,Wheel Loader,2007,1072,L3240F
Kubota,MF6614S,Vibratory Smooth Drum Roller,2017,1353,MF6614S
Zettelmeyer,YZC12A,Skidder,2004,1887,YZC12A
Krause,5891260,Wheel Loader,2002,1260,5891260
Volvo,848L1478,Hydraulic Excavator,2018,1478,848L1478
Kubota,JZ701167,Skid Steer Loader,2000,1167,JZ701167
Challenger,4995-36WR,Hydraulic Excavator,2001,1212,4995-36WR
Caterpillar,HD PLUS 80i VV,Cultivator,2019,1878,HDPLUS80iVV
Hamm,450E/6415,4WD Tractor,2006,1850,450E6415
Kubota,STEIGER 600 QUADTRAC,Asphalt Paver,2001,1299,STEIGER600QUADTRAC
Caterpillar,SD45B Smooth,Wheel Loader,2013,1339,SD45BSmooth
Bomag,TS125A ROPS,Harrow,2013,1356,TS125AROPS
Dynapac,325F L,Harrow,2001,1195,325FL
Agrale,458 Silage Special,Cold Planer,2006,1045,458SilageSpecial
Kubota,CC2200C,Harvester,2007,1708,CC2200C
John Deere,8751780,Articulated Dump Truck,2008,1780,8751780
Caterpillar,90ZIV1142,Swather,2007,1142,90ZIV1142
Krause,3CX Contractor,Hydraulic Excavator,2011,1081,3CXContractor
Case IH,AP1055F,Utility Tractor,2010,1710,AP1055F
Krause,EX550H,Baler,2019,1787,EX550H
Komatsu,323D1560,Asphalt Paver,2012,1560,323D1560
John Deere,550J LT,Skid Steer Loader,2007,1414,550JLT
John Deere,J-41 1824,4WD Tractor,2000,1274,J-411824
Case IH,303 CR,Multi Terrain Loader,2012,1842,303CR
New Holland,524K Z-Bar,Cultivator,2019,1883,524KZ-Bar
Case,336E H Hybrid,4WD Tractor,2003,1939,336EHHybrid
Doosan,TL2401054,Crawler Tractor,2006,1054,TL2401054
Caterpillar,SX2751341,Wheel Loader,2006,1341,SX2751341
Dynapac,TL3601602,Cold Planer,2009,1602,TL3601602
JCB,50ZIV1122,Hydraulic Excavator,2010,1122,50ZIV1122
Bomag,MF 5445,Loader Backhoe,2010,1966,MF5445
Case IH,JS260NLXD,Asphalt Paver,2008,1735,JS260NLXD
Caterpillar,EF230H,4WD Tractor,2002,1613,EF230H
Hitachi,R290LC-7 High Chassis,4WD Tractor,2012,1021,R290LC-7HighChassis
Landini,63001558,Hydraulic Excavator,2007,1558,63001558
Kuhn,MT265B,Cultivator,2014,1340,MT265B
Kuhn,D65E-6,Midi Excavator,2017,1409,D65E-6
Wacker Neuson,STEIGER 450 QUADTRAC,4WD Tractor,2012,1827,STEIGER450QUADTRAC
John Deere,J-44 3624,Wheel Loader,2015,1390,J-443624
New Holland,Maxim III 50\',Cultivator,2018,1073,MaximIII50\'
Massey Ferguson,HD70K1625,Vibratory Compactor,2010,1625,HD70K1625
Kobelco,PC190LC-8,Mini Excavator,2005,1045,PC190LC-8
John Deere,MAXXUM 125 MULTICONTROLLER,Disc,2001,1988,MAXXUM125MULTICONTROLLER
Bomag,458 Silage Special,Hydraulic Excavator,2011,1053,458SilageSpecial
Kubota,721FXR,Wheel Loader,2003,1486,721FXR
Kubota,115ZV1101,Vibratory Smooth Drum Roller,2006,1101,115ZV1101
Case,56401051,2WD Tractor,2012,1051,56401051
John Deere,2580 Deluxe,4WD Tractor,2007,1964,2580Deluxe
Hyundai,7400-24NR,Vibratory Smooth Drum Roller,2009,1814,7400-24NR
Case,P2050 AIR DRILL,Hydraulic Excavator,2002,1387,P2050AIRDRILL
Landini,DH1048,Wheel Loader,2013,1229,DH1048
Massey Ferguson,TXC140LC-2,MFWD Tractor,2010,1753,TXC140LC-2
YTO,6015/6015 FS,4WD Tractor,2007,1137,60156015FS
New Holland,EX4501998,Combine,2012,1998,EX4501998
New Idea,624EH1378,Wheel Loader,2003,1378,624EH1378
JCB,TA4001673,Skid Steer Loader,2010,1673,TA4001673
Case,ZX180LCN,Pneumatic Roller,2017,1286,ZX180LCN
Hitachi,SH350HD-5,Vibratory Smooth Drum Roller,2014,1949,SH350HD-5
Kato,574B1049,Vibratory Compactor,2016,1049,574B1049
JCB,ZX210LCH-3,Crawler Tractor,2003,1974,ZX210LCH-3
Wil-Rich,5641665,Utility Tractor,2001,1665,5641665
Hitachi,9520RX Scraper Special,Cultivator,2007,1370,9520RXScraperSpecial
Caterpillar,ZE2301896,Articulated Dump Truck,2016,1896,ZE2301896
Hyundai,L2501-2WD,4WD Tractor,2014,1417,L2501-2WD
Ponsse,U601748,Swather,2012,1748,U601748
Kubota,5000 HD-57\',4WD Tractor,2003,1435,5000HD-57\'
John Deere,5710-70,Cultivator,2016,1370,5710-70
Komatsu,HL740TM-9,Wheel Loader,2016,1136,HL740TM-9
Komatsu,5065M1790,Vibratory Smooth Drum Roller,2017,1790,5065M1790
Volvo,CS78B1416,Hydraulic Excavator,2017,1416,CS78B1416
Case IH,MT3600B,Rock Truck,2008,1204,MT3600B
Bobcat,E851209,Mini Excavator,2005,1209,E851209
Hesston,34111823,Hydraulic Excavator,2014,1823,34111823
Volvo,290LX Road Builder,Harrow,2001,1149,290LXRoadBuilder
Case IH,PUMA 185,4WD Tractor,2016,1653,PUMA185
Fendt,16 QX2 39,4WD Tractor,2013,1232,16QX239
John Deere,Star 85 Quadrifoglio High,Vibratory Smooth Drum Roller,2010,1580,Star85QuadrifoglioHigh
Yanmar,GC1720,4WD Tractor,2007,1601,GC1720
Zoomlion,MT295B,Loader Backhoe,2007,1284,MT295B
John Deere,P2085 - 40 ft,Baler,2007,1616,P2085-40ft
Buhler Versatile,ST2501555,Mini Excavator,2017,1555,ST2501555
YTO,DX1751720,Wheel Loader,2016,1720,DX1751720
Kubota,Boomer 50 Cab,Asphalt Paver,2006,1392,Boomer50Cab
Kobelco,BX25D1982,Loader Backhoe,2000,1982,BX25D1982
New Holland,CS573E,Vibratory Compactor,2002,1548,CS573E
Caterpillar,6420L1841,Harvester,2015,1841,6420L1841
Flaman,35001850,Sprayer,2005,1850,35001850
Case,BW172PDB-2,Skid Steer Loader,2004,1223,BW172PDB-2
John Deere,DV PLUS 70i VT-S,Vibratory Smooth Drum Roller,2017,1621,DVPLUS70iVT-S
Caterpillar,75 Spin Ace,Vibratory Smooth Drum Roller,2013,1076,75SpinAce
Krause,4995-28N,4WD Tractor,2009,1214,4995-28N
Massey Ferguson,304.5E2 XTC,Crawler Tractor,2000,1788,304.5E2XTC
Ingersoll Rand,5095M1370,4WD Tractor,2001,1370,5095M1370
Komatsu,323D LN,4WD Tractor,2009,1579,323DLN
Case,MP1000,Sprayer,2012,1974,MP1000
Zettelmeyer,CX8090,2WD Tractor,2017,1770,CX8090
Volvo,WA270-7,Multi Terrain Loader,2018,1380,WA270-7
Kubota,3540-60-16-10,Crawler Tractor,2010,1719,3540-60-16-10
Komatsu,F2500C,Loader Backhoe,2011,1100,F2500C
Claas,Tiger-mate II 30.5ft,Asphalt Paver,2015,1210,Tiger-mateII30.5ft
Case IH,210G LC,Compactor,2017,1139,210GLC
Liebherr,ZX380LC-6,Wheel Loader,2017,1372,ZX380LC-6
Komatsu,TJ4501001,2WD Tractor,2004,1001,TJ4501001
Massey Ferguson,2051783,Rock Truck,2009,1783,2051783
Kubota,840II1579,Loader Backhoe,2007,1579,840II1579
Kubota,D95B WT,Hydraulic Excavator,2012,1473,D95BWT
Washburn,WA30-5,Sprayer,2017,1097,WA30-5
Terex,64151991,2WD Tractor,2005,1991,64151991
Steyr,9340 Self-Propelled,Skid Steer Loader,2000,1058,9340Self-Propelled
Dynapac,EX5500-6,Asphalt Paver,2008,1984,EX5500-6
Volvo,220-2118,Wheel Loader,2016,1767,220-2118
Volvo,R250NLC-7,Wheel Loader,2009,1213,R250NLC-7
Komatsu,CA612PD,Sprayer,2003,1042,CA612PD
Ezee-On,PR744 L,2WD Tractor,2009,1501,PR744L
Case IH,SH225X-3,Hydraulic Excavator,2008,1649,SH225X-3
Dressta,A25 B 4x4,Compactor,2014,1767,A25B4x4
John Deere,VHK510,Vibratory Smooth Drum Roller,2012,1856,VHK510
Ranger,MT555B 2WD,4WD Tractor,2017,1540,MT555B2WD
Hitachi,46901775,Wheel Loader,2016,1775,46901775
Flexi-Coil,2483N1863,Hydraulic Excavator,2010,1863,2483N1863
Volvo,5000 HD-28\',Rock Truck,2002,1958,5000HD-28\'
Valtra,ZX130K Demo,Mini Excavator,2011,1962,ZX130KDemo
Volvo,3CX 15FT,Harvester,2016,1658,3CX15FT
John Deere,FARMALL 90C,Cultivator,2014,1192,FARMALL90C
New Holland,MF 5425,Skid Steer Loader,2008,1478,MF5425
Daedong,BW212D3,Wheel Loader,2006,1931,BW212D3
Caterpillar,436ZX1060,Wheel Loader,2018,1060,436ZX1060
Kato,WA270-3,Cultivator,2005,1039,WA270-3
Doosan,MEGA 300 III,Hydraulic Excavator,2008,1584,MEGA300III
Komatsu,CX290B,Wheel Loader,2006,1360,CX290B
John Deere,F161W1101,Shovel,2009,1101,F161W1101
Hamm,WY10R1974,Wheel Loader,2014,1974,WY10R1974
Tigercat,MTX135,Wheel Loader,2005,1065,MTX135
Volvo,D39PXI-23,Disc,2006,1951,D39PXI-23
Case IH,MF 290,Combine,2001,1584,MF290
Caterpillar,73201764,Crawler Tractor,2009,1764,73201764
Liebherr,437 HT,Crawler Tractor,2010,1512,437HT
Bomag,D45A-1,2WD Tractor,2012,1206,D45A-1
Massey Ferguson,PC228USLC-10,Sprayer,2006,1429,PC228USLC-10
Dynapac,CN591561,Vibratory Compactor,2010,1561,CN591561
Kioti,ZL42C1505,Hydraulic Excavator,2010,1505,ZL42C1505
Caterpillar,5800 Quantum,Disc,2015,1876,5800Quantum
Wacker Neuson,544J Powerllel Pin-on,Crawler Tractor,2006,1987,544JPowerllelPin-on
Massey Ferguson,140M/140M AWD,Baler,2014,1449,140M140MAWD
John Deere,77751024,Hydraulic Excavator,2017,1024,77751024
Hamm,MG430-E,Wheel Loader,2002,1664,MG430-E
Kato,53141549,MFWD Tractor,2011,1549,53141549
Caterpillar,PC800-6,4WD Tractor,2008,1768,PC800-6
New Holland,NITRO 4275,Midi Excavator,2016,1536,NITRO4275
Komatsu,TF3271767,Vibratory Smooth Drum Roller,2007,1767,TF3271767
Dynapac,426ZX1615,Skid Steer Loader,2011,1615,426ZX1615
Claas,7210R1580,Wheel Loader,2005,1580,7210R1580
Challenger,AX50U-4,Crawler Tractor,2013,1572,AX50U-4
John Deere,Farmall 65C,Forwarder,2000,1665,Farmall65C
Caterpillar,DK35SE,Multi Terrain Loader,2010,1212,DK35SE
John Deere,DF115PD,Midi Excavator,2013,1553,DF115PD
Volvo,DL4501149,Feller Buncher,2015,1149,DL4501149
Caterpillar,EX230LCH-5,Asphalt Paver,2000,1547,EX230LCH-5
Case IH,330B LN,Wheel Loader,2015,1016,330BLN
John Deere,350-2162,Mobile Excavator,2001,1756,350-2162
New Holland,PC240LC-10,Air Drill,2014,1551,PC240LC-10
Caterpillar,7260R1229,4WD Tractor,2010,1229,7260R1229
Caterpillar,S5951789,Skid Steer Loader,2014,1789,S5951789
AMCO,OPTUM 270,Combine,2001,1908,OPTUM270
Krause,5058ZS,2WD Tractor,2000,1720,5058ZS
Caterpillar,R450-7,MFWD Tractor,2001,1048,R450-7
ASV,5531-46-13-8,Vibratory Smooth Drum Roller,2014,1291,5531-46-13-8
Ingersoll Rand,LW130TC,Wheel Loader,2008,1054,LW130TC
Caterpillar,WA 400-5,Skid Steer Loader,2006,1791,WA400-5
Caterpillar,CG233HF,Vibratory Compactor,2015,1386,CG233HF
Krause,9400-4 48,4WD Tractor,2007,1128,9400-448
New Holland,3524-36-13-6,Hydraulic Excavator,2002,1193,3524-36-13-6
JCB,4271246,Wheel Loader,2009,1246,4271246
New Holland,160X21261,Skid Steer Loader,2016,1261,160X21261
Ranger,84501103,Mobile Excavator,2014,1103,84501103
Case IH,EC180BLC,Motor Grader,2005,1191,EC180BLC
John Deere,EB4061960,Hydraulic Excavator,2018,1960,EB4061960
Bobcat,5054-47,Combine,2014,1255,5054-47
Case IH,TG190TA-3,Motor Scraper,2011,1919,TG190TA-3
Sam,TD-9R1983,Disc,2016,1983,TD-9R1983
Terex,87601527,Sprayer,2012,1527,87601527
New Holland,5054-47.6,Wheel Loader,2016,1572,5054-47.6
Wil-Rich,TB153FR,Baler,2004,1874,TB153FR
Komatsu,3200 XTRA,Disc,2019,1217,3200XTRA
JCB,E195EL,Wheel Loader,2010,1079,E195EL
Vibromax,MC601366,Hydraulic Excavator,2007,1366,MC601366
New Holland,8551390,Wheel Loader,2009,1390,8551390
Burch,R290LC-7 LR,Baler,2019,1464,R290LC-7LR
New Holland,Grass Harrow 12.0,Crawler Tractor,2004,1503,GrassHarrow12.0
Flexi-Coil,380G LC,Swather,2013,1314,380GLC
Case,Discover XM 40,Wheel Loader,2019,1368,DiscoverXM40
Dynapac,B7410DT,2WD Tractor,2013,1580,B7410DT
JCB,L5060GSTRC,Utility Tractor,2016,1380,L5060GSTRC
Kubota,212-1032,Wheel Dozer,2007,1926,212-1032
Yanmar,5630-32 31.6ft,Disc,2000,1272,5630-3231.6ft
Caterpillar,D3001956,Disc,2014,1956,D3001956
John Deere,D8L1152,2WD Tractor,2017,1152,D8L1152
LeeBoy,67151445,2WD Tractor,2004,1445,67151445
Komatsu,VDA 600,MFWD Tractor,2011,1727,VDA600
Opico,MF 2430 ST,4WD Tractor,2013,1423,MF2430ST
Caterpillar,620C1291,Skid Steer Loader,2016,1291,620C1291
John Deere,M2001592,4WD Tractor,2006,1592,M2001592
Hitachi,HSL240T,Wheel Loader,2012,1097,HSL240T
Hitachi,8611942,Mobile Excavator,2003,1942,8611942
Liebherr,HL770XTD-9,Hydraulic Excavator,2000,1791,HL770XTD-9
Kubota,ZX225USR-3,Sprayer,2001,1382,ZX225USR-3
Caterpillar,JX801860,Hydraulic Excavator,2010,1860,JX801860
Caterpillar,CS-583D,Cultivator,2000,1248,CS-583D
Caterpillar,A25 B 4x4,4WD Tractor,2008,1725,A25B4x4
IMT,M1501921,Crawler Tractor,2001,1921,M1501921
Caterpillar,321F1351,MFWD Tractor,2002,1351,321F1351
LiuGong,350-1174,Loader Backhoe,2004,1963,350-1174
Massey Ferguson,G960B1018,Mini Excavator,2003,1018,G960B1018
Caterpillar,ZX350LCK,Crawler Tractor,2012,1389,ZX350LCK
Hyundai,Magnum 340,Sprayer,2017,1757,Magnum340
Case IH,TY120A,Crawler Tractor,2012,1972,TY120A
Komatsu,ZX180LC-5G,2WD Tractor,2011,1144,ZX180LC-5G
Zettelmeyer,D20A-3,Log Loader,2016,1882,D20A-3
John Deere,L3830HST,Crawler Tractor,2010,1903,L3830HST
John Deere,Rex 80 V,Mini Excavator,2018,1111,Rex80V
Komatsu,853J1475,Crawler Tractor,2004,1475,853J1475
Doosan,5630-48 50.6ft,2WD Tractor,2010,1326,5630-4850.6ft
Sumitomo,MCT125D,4WD Tractor,2014,1945,MCT125D
Caterpillar,A30G1347,Wheel Loader,2015,1347,A30G1347
Ingersoll Rand,850J1404,Harvester,2011,1404,850J1404
Liebherr,SV100-2A,Midi Excavator,2009,1504,SV100-2A
Hyundai,3412 VIO,Hydraulic Excavator,2014,1637,3412VIO
RoGator,HD PLUS 90i VV,4WD Tractor,2019,1246,HDPLUS90iVV
Challenger,140M1602,Disc,2004,1602,140M1602
Caterpillar,CC1000 PLUS,Wheel Loader,2004,1730,CC1000PLUS
AMCO,67C-11425,Crawler Tractor,2014,1425,67C-11425
John Deere,350X31191,4WD Tractor,2011,1191,350X31191
New Holland,37001798,Combine,2002,1798,37001798
John Deere,7000 7,Hydraulic Excavator,2009,1035,70007
Hitachi,36351445,Vibratory Compactor,2013,1445,36351445
Massey Ferguson,D61141,Crawler Tractor,2002,1141,D61141
YTO,M315C1012,4WD Tractor,2013,1012,M315C1012
John Deere,1300D1459,Disc,2016,1459,1300D1459
Komatsu,CLG835 II,4WD Tractor,2010,1250,CLG835II
AGCO,75 Spin Ace,Midi Excavator,2003,1584,75SpinAce
John Deere,644H MH,MFWD Tractor,2000,1633,644HMH
Liebherr,10841192,Hydraulic Excavator,2007,1192,10841192
Caterpillar,555E1097,Hydraulic Excavator,2007,1097,555E1097
John Deere,325T1588,Skid Steer Loader,2017,1588,325T1588
Massey Ferguson,CX65-LC,Skidder,2014,1381,CX65-LC
John Deere,H11i1730,Shovel,2011,1730,H11i1730
Ford,51451547,Air Drill,2018,1547,51451547
AGCO,725C1149,Sprayer,2010,1149,725C1149
Volvo,Jumbo Junior 72ft,Wheel Loader,2001,1297,JumboJunior72ft
Komatsu,210G LC,Baler,2007,1991,210GLC
John Deere,U27-4G,Motor Grader,2000,1000,U27-4G
Opico,HD785-7,Combine,2006,1393,HD785-7
Case IH,5525 Narrow,Sprayer,2014,1720,5525Narrow
New Holland,730C1549,4WD Tractor,2019,1549,730C1549
LeTourneau,PC45-1,Vibratory Smooth Drum Roller,2007,1857,PC45-1
Massey Ferguson,240LX Road Builder,Articulated Dump Truck,2008,1087,240LXRoadBuilder
Madill,EX370HD-5,Utility Tractor,2016,1368,EX370HD-5
Caterpillar,45901432,Hydraulic Excavator,2000,1432,45901432
Case IH,77181683,Hydraulic Excavator,2006,1683,77181683
Liebherr,MT655B,Mobile Excavator,2012,1783,MT655B
Bobcat,SLc 5500,Mini Excavator,2002,1728,SLc5500
Welger,CC524HF CE,Motor Scraper,2012,1235,CC524HFCE
Caterpillar,S1751659,4WD Tractor,2005,1659,S1751659
Ranger,T6020 PLus,4WD Tractor,2008,1383,T6020PLus
Ursus,TN85A1162,Skid Steer Loader,2010,1162,TN85A1162
Caterpillar,323F L,Cultivator,2005,1183,323FL
Tigercat,PR732B,4WD Tractor,2013,1021,PR732B
Massey Ferguson,637E Series II,Hydraulic Excavator,2005,1625,637ESeriesII
John Deere,EX200LC,Integrated Tool Carrier,2006,1619,EX200LC
Link-Belt,L480B1053,Wheel Loader,2019,1053,L480B1053
Goldoni,W355K1319,Midi Excavator,2006,1319,W355K1319
Hamm,JS 300 LC,Motor Grader,2018,1980,JS300LC
Terex,J-44 3224,Motor Scraper,2011,1504,J-443224
Case IH,HT2200B,Hydraulic Excavator,2011,1098,HT2200B
John Deere,268B1437,Crawler Tractor,2004,1437,268B1437
Volvo,PL831464,Hydraulic Excavator,2014,1464,PL831464
John Deere,SD2500WS,Hydraulic Excavator,2003,1121,SD2500WS
Bomag,SK135SR-2,Utility Tractor,2006,1010,SK135SR-2
Fendt,RP1901298,Skidder,2003,1298,RP1901298
LeeBoy,350-1158,Hydraulic Excavator,2001,1718,350-1158
Massey Ferguson,EW 60 E,Hydraulic Excavator,2001,1798,EW60E
Ingersoll Rand,ST33a1521,Hydraulic Excavator,2017,1521,ST33a1521
Bomag,3250 S,4WD Tractor,2016,1751,3250S
Doosan,220C1865,4WD Tractor,2018,1865,220C1865
New Holland,524K-II,Motor Grader,2005,1200,524K-II
Hitachi,Optimer 301,MFWD Tractor,2008,1404,Optimer301
Hitachi,278-2228,Vibratory Smooth Drum Roller,2019,1345,278-2228
JCB,950E1474,Loader Backhoe,2003,1474,950E1474
Case,AP 630,Wheel Loader,2018,1774,AP630
Washburn,AP-1050B,Sprayer,2012,1864,AP-1050B
Dynapac,247B Series 3,Hydraulic Excavator,2006,1196,247BSeries3
Caterpillar,77151264,Cultivator,2002,1264,77151264
Caterpillar,Lx4100,Mini Excavator,2003,1393,Lx4100
JCB,456 Wastemaster,Midi Excavator,2006,1364,456Wastemaster
Komatsu,845C1572,Asphalt Paver,2015,1572,845C1572
Kobelco,R110D-7,Skid Steer Loader,2008,1925,R110D-7
Claas,PC300-8M0,Hydraulic Excavator,2005,1324,PC300-8M0
Case IH,R924 LITRONIC,Articulated Dump Truck,2017,1893,R924LITRONIC
John Deere,370 Kompakt,Loader Backhoe,2006,1595,370Kompakt
Komatsu,EH1100,Hydraulic Excavator,2008,1178,EH1100
Samsung,Trekker 105 F,Wheel Loader,2011,1854,Trekker105F
Hitachi,EC3501932,Cold Planer,2012,1932,EC3501932
Massey Ferguson,BW161AD4HF,Hydraulic Excavator,2005,1024,BW161AD4HF
Case IH,SK295LC-8,Combine,2005,1546,SK295LC-8
John Deere,844J1467,Skid Steer Loader,2008,1467,844J1467
Case IH,ZX200-3,Skid Steer Loader,2018,1531,ZX200-3
John Deere,EC250E,Vibratory Smooth Drum Roller,2007,1355,EC250E
Claas,793F WTR Bare Chassis,Hydraulic Excavator,2010,1420,793FWTRBareChassis
Bobcat,CS6060 Laterale,Wheel Loader,2018,1469,CS6060Laterale
Dynapac,260E1659,Hydraulic Excavator,2004,1659,260E1659
Caterpillar,2301953,4WD Tractor,2010,1953,2301953
JCB,L3901-HST,Hydraulic Excavator,2013,1145,L3901-HST
Case IH,CC241750,Hydraulic Excavator,2008,1750,CC241750
Case IH,336 GC,2WD Tractor,2003,1675,336GC
Bomag,HD1250VII,Skid Steer Loader,2017,1787,HD1250VII
Dynapac,DK501(C),Wheel Loader,2000,1073,DK501C
John Deere,CB5451116,Hydraulic Excavator,2007,1116,CB5451116
